Date,Time,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
2023-07-11,07:43,ACC228568,ACC701082,4631.21,TRY,CNY,UK,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-06-07,13:26,ACC476394,ACC175675,6046.37,EUR,EUR,Turkey,USA,Cash,1,Suspicious_CrossBorder_Transfer
2023-04-17,20:35,ACC697013,ACC928757,3398.26,AED,MXN,USA,UK,E-Wallet,0,Normal_Corporate_Payment
2023-08-12,16:00,ACC228131,ACC140503,2990.93,USD,USD,China,China,ACH Transfer,0,Normal_Corporate_Payment
2023-02-20,10:26,ACC145520,ACC905946,423.43,GBP,GBP,UK,USA,Cash,1,Suspicious_Related_Accounts
2023-04-17,22:52,ACC425063,ACC680484,335.69,EUR,GBP,UK,UK,Cash,1,Suspicious_CrossBorder_Transfer
2023-05-14,17:15,ACC734157,ACC981065,2794.16,AED,AED,Turkey,UK,Cross-Border,1,Suspicious_RapidMovement
2023-06-16,22:19,ACC688730,ACC805479,5309.76,MAD,CNY,USA,Morocco,Mobile Payment,0,Normal_Personal_Transfer
2023-10-14,12:39,ACC885313,ACC707612,5568.15,TRY,EUR,Morocco,China,ACH Transfer,0,Normal_Corporate_Payment
2023-03-14,06:12,ACC252842,ACC518277,4945.33,TRY,TRY,UK,Germany,Debit Card,0,Normal_Corporate_Payment
2023-07-07,01:16,ACC467390,ACC765307,4104.71,MAD,MAD,UK,Turkey,Cash,1,Suspicious_Related_Accounts
2023-08-05,17:25,ACC802858,ACC574296,2530.39,EUR,EUR,Germany,China,Mobile Payment,0,Normal_Personal_Transfer
2023-01-17,02:54,ACC471831,ACC447694,4012.94,USD,TRY,UK,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-08-10,07:15,ACC622485,ACC966763,1396.21,EUR,EUR,China,USA,Debit Card,0,Normal_Personal_Transfer
2023-03-04,12:46,ACC747735,ACC263704,1161.44,EUR,GBP,UK,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-01-24,13:32,ACC685765,ACC250424,3006.43,MXN,TRY,Germany,UK,Debit Card,0,Normal_Corporate_Payment
2023-12-13,14:24,ACC624532,ACC385797,9953.53,AED,GBP,Mexico,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-12-19,03:59,ACC965885,ACC298187,3271.7,TRY,CNY,Mexico,USA,E-Wallet,0,Normal_Corporate_Payment
2023-10-23,09:06,ACC550953,ACC983726,9365.2,USD,AED,China,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-04-22,14:48,ACC277561,ACC668043,3928.7,MXN,MXN,Turkey,Germany,ACH Transfer,0,Normal_Personal_Transfer
2023-02-05,23:16,ACC957735,ACC990728,4395.71,MAD,MXN,Turkey,China,Debit Card,0,Normal_Personal_Transfer
2023-09-07,17:27,ACC390534,ACC722642,7972.66,EUR,USD,Morocco,UAE,Debit Card,0,Normal_Corporate_Payment
2023-06-10,22:08,ACC634535,ACC434132,945.45,MAD,GBP,Morocco,USA,Cheque,1,Suspicious_Structuring
2023-02-14,18:17,ACC300123,ACC924353,1831.31,TRY,GBP,China,Turkey,Cash,1,Suspicious_CrossBorder_Transfer
2023-06-30,14:12,ACC815079,ACC552219,9738.66,MXN,AED,UAE,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-01-13,04:36,ACC527894,ACC574092,5064.11,AED,USD,UK,UAE,Cash,1,Suspicious_RapidMovement
2023-11-28,16:00,ACC581018,ACC933100,452.65,MXN,CNY,UK,USA,Cash,1,Suspicious_CrossBorder_Transfer
2023-04-05,14:57,ACC307358,ACC417319,483.33,USD,MXN,UAE,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-08-30,14:27,ACC916015,ACC803098,9073.33,AED,MXN,Mexico,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-04-24,11:45,ACC616456,ACC415596,8734.92,EUR,TRY,Mexico,Mexico,Mobile Payment,0,Normal_Personal_Transfer
2023-07-09,12:41,ACC239148,ACC299395,4589.41,CNY,TRY,USA,Mexico,ACH Transfer,0,Normal_Corporate_Payment
2023-07-19,08:01,ACC246123,ACC408293,1640.59,CNY,MAD,Mexico,Mexico,Cash,1,Suspicious_Shell_Companies
2023-03-09,12:27,ACC497530,ACC344965,8304.54,USD,AED,UAE,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-12-20,04:44,ACC652958,ACC902271,3252.76,MXN,MXN,Morocco,USA,Credit Card,0,Normal_Corporate_Payment
2023-10-10,19:19,ACC593973,ACC620724,4196.39,AED,MAD,Mexico,China,Cheque,1,Suspicious_CrossBorder_Transfer
2023-12-09,04:27,ACC110236,ACC626443,6827.94,MXN,EUR,China,Morocco,E-Wallet,0,Normal_Corporate_Payment
2023-11-23,02:02,ACC135568,ACC500235,3540.45,USD,GBP,USA,Turkey,Cash,1,Suspicious_RapidMovement
2023-08-07,10:28,ACC731615,ACC678800,6290.41,MXN,TRY,Turkey,China,E-Wallet,0,Normal_Corporate_Payment
2023-12-03,15:47,ACC355745,ACC554906,8853.97,AED,EUR,USA,UAE,Cash,1,Suspicious_Cash_Intensive
2023-02-02,10:30,ACC472332,ACC972582,7975.76,GBP,TRY,UAE,China,Cheque,1,Suspicious_Related_Accounts
2023-03-13,06:38,ACC585119,ACC750329,3822.29,TRY,USD,UK,Morocco,ACH Transfer,0,Normal_Personal_Transfer
2023-01-17,13:23,ACC378496,ACC388334,2886.49,EUR,GBP,UK,China,Mobile Payment,0,Normal_Personal_Transfer
2023-04-29,08:19,ACC750009,ACC599127,2862.25,TRY,MAD,USA,Germany,E-Wallet,0,Normal_Corporate_Payment
2023-05-22,22:23,ACC359291,ACC373072,3492.43,EUR,CNY,USA,USA,Debit Card,0,Normal_Personal_Transfer
2023-04-10,22:08,ACC538866,ACC410569,4940.23,AED,MAD,UK,UK,Cheque,1,Suspicious_CrossBorder_Transfer
2023-10-30,12:03,ACC503562,ACC698422,4171.81,MXN,CNY,Morocco,USA,Debit Card,0,Normal_Corporate_Payment
2023-05-11,07:52,ACC780516,ACC734163,1338.71,CNY,CNY,UAE,China,ACH Transfer,0,Normal_Personal_Transfer
2023-04-13,17:41,ACC155904,ACC317189,1642.92,AED,TRY,China,Germany,E-Wallet,0,Normal_Corporate_Payment
2023-07-18,00:52,ACC378252,ACC748552,3435.87,USD,MXN,China,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-02-21,11:23,ACC622247,ACC280046,5625.02,CNY,AED,China,USA,Debit Card,0,Normal_Personal_Transfer
2023-10-20,08:04,ACC889285,ACC472335,5930.71,USD,MAD,China,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-01-28,22:05,ACC446300,ACC279815,4867.21,MXN,USD,UK,UK,E-Wallet,0,Normal_Corporate_Payment
2023-12-27,00:17,ACC366320,ACC572671,7390.37,EUR,USD,UAE,Morocco,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-10-09,13:16,ACC724747,ACC990148,7375.12,MXN,MXN,Morocco,Morocco,Debit Card,0,Normal_Personal_Transfer
2023-03-14,17:46,ACC519136,ACC301107,4282.0,EUR,USD,Germany,China,Mobile Payment,0,Normal_Personal_Transfer
2023-01-03,11:38,ACC285922,ACC680609,1253.16,MXN,AED,Mexico,Germany,Cheque,1,Suspicious_Cash_Intensive
2023-10-25,02:02,ACC237901,ACC475926,5306.45,CNY,GBP,Mexico,China,Cash,1,Suspicious_Related_Accounts
2023-09-16,23:20,ACC223225,ACC209398,3820.88,MXN,TRY,Mexico,China,Cash,1,Suspicious_Cash_Intensive
2023-09-24,12:25,ACC593406,ACC421117,1387.85,MXN,USD,Mexico,Turkey,Credit Card,0,Normal_Corporate_Payment
2023-10-09,14:44,ACC860135,ACC676702,9818.35,CNY,GBP,UK,China,E-Wallet,0,Normal_Corporate_Payment
2023-01-28,05:40,ACC321738,ACC518818,3703.86,USD,MXN,Germany,Mexico,Cheque,1,Suspicious_Shell_Companies
2023-05-11,11:36,ACC735181,ACC348749,6261.72,EUR,TRY,UK,Turkey,E-Wallet,0,Normal_Personal_Transfer
2023-02-12,10:17,ACC960359,ACC391836,4906.39,MAD,MXN,Germany,China,Mobile Payment,0,Normal_Corporate_Payment
2023-11-12,01:47,ACC578076,ACC468102,1436.85,MXN,TRY,UK,China,ACH Transfer,0,Normal_Corporate_Payment
2023-08-16,02:32,ACC342726,ACC410894,564.88,TRY,AED,Morocco,UK,Credit Card,0,Normal_Personal_Transfer
2023-05-01,20:05,ACC402811,ACC514976,6261.44,TRY,USD,USA,Morocco,E-Wallet,0,Normal_Personal_Transfer
2023-01-24,05:45,ACC821202,ACC430600,2477.75,AED,USD,Germany,Turkey,Cash,1,Suspicious_CrossBorder_Transfer
2023-04-24,04:40,ACC529059,ACC910517,2444.1,AED,TRY,Mexico,Morocco,Cash,1,Suspicious_Shell_Companies
2023-04-29,12:07,ACC806168,ACC385069,9570.19,USD,GBP,Germany,Turkey,Credit Card,0,Normal_Corporate_Payment
2023-09-24,18:26,ACC523759,ACC892047,4623.12,GBP,GBP,Turkey,UK,Cheque,1,Suspicious_Cash_Intensive
2023-08-21,01:29,ACC565996,ACC923515,303.97,MAD,GBP,China,Mexico,Cross-Border,1,Suspicious_Shell_Companies
2023-11-20,13:50,ACC106611,ACC614004,3405.03,USD,EUR,Germany,Turkey,Debit Card,0,Normal_Corporate_Payment
2023-06-22,02:51,ACC450386,ACC472908,5849.07,GBP,MAD,Turkey,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-02-13,00:52,ACC971044,ACC561535,3292.39,USD,MAD,China,China,E-Wallet,0,Normal_Corporate_Payment
2023-09-18,01:15,ACC933334,ACC633893,278.25,AED,MAD,Turkey,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-10-05,20:01,ACC871812,ACC997525,4448.67,TRY,GBP,China,Germany,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-07-24,02:49,ACC395187,ACC931040,1068.0,MXN,USD,USA,USA,Cross-Border,1,Suspicious_Cash_Intensive
2023-10-09,01:05,ACC236343,ACC490932,6195.41,EUR,AED,Germany,Germany,E-Wallet,0,Normal_Corporate_Payment
2023-06-30,10:30,ACC959299,ACC119192,6199.68,AED,EUR,Turkey,Germany,Cross-Border,1,Suspicious_Shell_Companies
2023-07-10,20:15,ACC439233,ACC937762,387.21,MXN,CNY,Morocco,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-06-06,06:17,ACC945177,ACC328464,2913.76,TRY,CNY,USA,USA,E-Wallet,0,Normal_Personal_Transfer
2023-01-10,10:07,ACC590092,ACC412093,4142.73,CNY,GBP,Mexico,Morocco,Cheque,1,Suspicious_RapidMovement
2023-02-09,00:57,ACC290191,ACC168382,5507.14,EUR,USD,Germany,UAE,Cross-Border,1,Suspicious_RapidMovement
2023-01-12,10:46,ACC766933,ACC723521,2967.67,GBP,EUR,UK,USA,Debit Card,0,Normal_Corporate_Payment
2023-08-21,13:51,ACC776769,ACC530802,2884.59,GBP,USD,UK,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-04-25,13:42,ACC972402,ACC152243,9830.32,TRY,TRY,UK,UAE,Credit Card,0,Normal_Corporate_Payment
2023-07-05,07:58,ACC386608,ACC462710,428.21,EUR,USD,Morocco,Germany,E-Wallet,0,Normal_Personal_Transfer
2023-11-28,07:34,ACC349220,ACC420762,9890.56,MXN,EUR,Turkey,Germany,Cross-Border,1,Suspicious_Cash_Intensive
2023-04-01,02:33,ACC536056,ACC238621,487.04,TRY,GBP,Turkey,USA,Cross-Border,1,Suspicious_Related_Accounts
2023-05-30,08:48,ACC742811,ACC152494,2890.53,GBP,MAD,China,Germany,Credit Card,0,Normal_Corporate_Payment
2023-10-03,02:23,ACC644950,ACC843333,4941.97,CNY,EUR,UK,USA,E-Wallet,0,Normal_Personal_Transfer
2023-03-25,18:23,ACC904660,ACC386102,1441.55,TRY,GBP,Mexico,Germany,E-Wallet,0,Normal_Corporate_Payment
2023-01-29,23:11,ACC685009,ACC320851,1357.12,CNY,GBP,Turkey,China,Mobile Payment,0,Normal_Personal_Transfer
2023-04-16,23:16,ACC762746,ACC600929,2570.56,MXN,AED,Morocco,UK,Mobile Payment,0,Normal_Corporate_Payment
2023-02-28,20:45,ACC893294,ACC207960,9735.34,USD,MXN,Germany,UAE,E-Wallet,0,Normal_Personal_Transfer
2023-12-06,14:25,ACC664396,ACC202478,3807.37,CNY,CNY,Turkey,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-10-22,16:49,ACC191788,ACC622419,5664.29,CNY,AED,Germany,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-08-20,06:50,ACC568239,ACC530754,7045.87,MAD,TRY,Morocco,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-11-15,15:08,ACC344437,ACC105833,7424.8,MAD,MXN,Turkey,China,Mobile Payment,0,Normal_Corporate_Payment
2023-10-21,10:56,ACC861299,ACC516602,6883.53,AED,MAD,UAE,Germany,ACH Transfer,0,Normal_Corporate_Payment
2023-03-10,11:34,ACC966572,ACC348053,3375.91,MAD,EUR,China,Mexico,Cash,1,Suspicious_Related_Accounts
2023-11-22,18:11,ACC782561,ACC199341,1126.16,USD,MXN,China,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-07-16,06:45,ACC955010,ACC827138,2824.35,MXN,MAD,China,China,Cash,1,Suspicious_Cash_Intensive
2023-10-22,07:37,ACC149966,ACC718528,2110.85,AED,GBP,Mexico,Turkey,Cheque,1,Suspicious_Structuring
2023-11-24,22:11,ACC285846,ACC994387,1371.41,EUR,EUR,Turkey,UK,Debit Card,0,Normal_Personal_Transfer
2023-04-27,01:20,ACC372530,ACC518048,254.72,CNY,MXN,Germany,Mexico,Mobile Payment,0,Normal_Corporate_Payment
2023-02-10,11:39,ACC701516,ACC308929,9357.9,TRY,USD,Morocco,Turkey,ACH Transfer,0,Normal_Corporate_Payment
2023-03-25,21:54,ACC246297,ACC270002,9211.13,MXN,MAD,Turkey,Mexico,Debit Card,0,Normal_Personal_Transfer
2023-06-05,14:38,ACC509909,ACC263479,513.67,USD,MAD,Morocco,UK,Credit Card,0,Normal_Corporate_Payment
2023-10-26,13:06,ACC434341,ACC890505,1739.11,CNY,TRY,USA,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-11-11,05:59,ACC143021,ACC904099,1403.61,AED,CNY,China,China,Cheque,1,Suspicious_RapidMovement
2023-01-03,08:14,ACC481059,ACC509251,2819.42,GBP,USD,UK,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-07-06,20:26,ACC249333,ACC106732,2048.65,MAD,EUR,Morocco,Morocco,Cheque,1,Suspicious_RapidMovement
2023-06-02,13:25,ACC520594,ACC417241,9459.08,MAD,MXN,USA,Morocco,Cheque,1,Suspicious_Related_Accounts
2023-03-23,12:21,ACC876934,ACC103487,850.86,MXN,GBP,Morocco,Morocco,Cross-Border,1,Suspicious_Structuring
2023-02-13,02:23,ACC186755,ACC331560,2124.59,CNY,MXN,USA,UAE,Credit Card,0,Normal_Corporate_Payment
2023-05-04,00:23,ACC166330,ACC944134,816.43,MAD,CNY,Morocco,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-12-11,23:07,ACC802726,ACC882031,9804.05,MAD,AED,China,Turkey,Cheque,1,Suspicious_RapidMovement
2023-04-28,09:02,ACC958754,ACC457105,9184.95,CNY,CNY,UK,UK,Cross-Border,1,Suspicious_RapidMovement
2023-07-09,14:28,ACC988750,ACC605410,7169.15,MXN,EUR,UAE,Morocco,Cash,1,Suspicious_Related_Accounts
2023-09-14,01:54,ACC669601,ACC709395,4265.47,MXN,EUR,China,Turkey,Cross-Border,1,Suspicious_Related_Accounts
2023-05-13,16:23,ACC334729,ACC207721,1909.88,AED,EUR,Morocco,Turkey,Mobile Payment,0,Normal_Corporate_Payment
2023-12-21,22:22,ACC857071,ACC433175,2222.68,USD,EUR,China,China,Cash,1,Suspicious_Structuring
2023-12-18,13:48,ACC389176,ACC446361,4435.97,USD,AED,UK,Germany,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-04-02,03:01,ACC585179,ACC376925,7684.54,MAD,MAD,USA,USA,Cross-Border,1,Suspicious_Related_Accounts
2023-07-01,13:57,ACC248430,ACC926297,2654.65,AED,MXN,USA,Germany,Debit Card,0,Normal_Personal_Transfer
2023-04-20,18:23,ACC948142,ACC632757,3114.81,MXN,USD,Morocco,UAE,Debit Card,0,Normal_Corporate_Payment
2023-04-14,09:45,ACC457470,ACC407311,6003.44,MXN,GBP,Turkey,Germany,Mobile Payment,0,Normal_Corporate_Payment
2023-01-14,21:06,ACC448301,ACC880226,2384.92,MAD,GBP,UK,USA,Credit Card,0,Normal_Personal_Transfer
2023-08-11,15:34,ACC542037,ACC312810,5846.34,EUR,TRY,USA,Turkey,Cheque,1,Suspicious_Structuring
2023-07-03,21:34,ACC128365,ACC906360,3877.44,GBP,MAD,Mexico,Germany,Mobile Payment,0,Normal_Personal_Transfer
2023-01-19,14:57,ACC375333,ACC307593,353.34,TRY,EUR,China,UAE,Debit Card,0,Normal_Corporate_Payment
2023-04-12,03:09,ACC569965,ACC401743,4032.99,TRY,CNY,Morocco,UAE,Cash,1,Suspicious_Cash_Intensive
2023-11-28,07:25,ACC631536,ACC509991,9196.06,CNY,EUR,Mexico,Germany,Debit Card,0,Normal_Corporate_Payment
2023-03-29,04:50,ACC104369,ACC428648,2938.19,MAD,EUR,Mexico,UK,Credit Card,0,Normal_Personal_Transfer
2023-02-22,21:48,ACC556979,ACC569134,3235.1,AED,CNY,Turkey,UK,E-Wallet,0,Normal_Personal_Transfer
2023-06-28,18:14,ACC915037,ACC170687,668.75,CNY,MAD,Turkey,China,ACH Transfer,0,Normal_Corporate_Payment
2023-12-26,16:14,ACC936048,ACC520020,6154.32,TRY,USD,Turkey,UAE,Cash,1,Suspicious_Cash_Intensive
2023-03-30,07:13,ACC547695,ACC995554,8493.93,USD,EUR,Mexico,Mexico,ACH Transfer,0,Normal_Corporate_Payment
2023-09-03,04:25,ACC465863,ACC787619,3535.7,AED,TRY,Germany,Turkey,E-Wallet,0,Normal_Personal_Transfer
2023-10-05,18:09,ACC271955,ACC881085,2410.05,CNY,TRY,UAE,Morocco,Cash,1,Suspicious_Cash_Intensive
2023-03-28,11:22,ACC657343,ACC710572,9566.55,AED,USD,Germany,UAE,E-Wallet,0,Normal_Corporate_Payment
2023-09-23,05:25,ACC824091,ACC185227,7453.28,CNY,MAD,Mexico,China,Cheque,1,Suspicious_RapidMovement
2023-05-15,14:47,ACC478824,ACC197556,5675.96,USD,EUR,China,UAE,Cheque,1,Suspicious_Structuring
2023-08-19,00:58,ACC369594,ACC667848,3062.26,EUR,AED,Morocco,UAE,Cheque,1,Suspicious_RapidMovement
2023-08-20,07:49,ACC233997,ACC389400,2215.77,MAD,MXN,Mexico,UK,Credit Card,0,Normal_Personal_Transfer
2023-07-15,11:14,ACC573267,ACC630413,7160.28,USD,MXN,Morocco,UAE,Debit Card,0,Normal_Corporate_Payment
2023-02-02,03:33,ACC150272,ACC628658,5222.67,MAD,GBP,Mexico,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-11-01,23:37,ACC105310,ACC104838,5210.79,MAD,USD,Turkey,USA,ACH Transfer,0,Normal_Corporate_Payment
2023-04-28,05:01,ACC131817,ACC214479,746.36,CNY,MXN,Morocco,USA,Debit Card,0,Normal_Personal_Transfer
2023-03-10,03:07,ACC608350,ACC157429,5126.82,AED,GBP,Turkey,Morocco,Credit Card,0,Normal_Personal_Transfer
2023-01-15,04:53,ACC586160,ACC866355,8229.21,MXN,TRY,Turkey,UAE,Debit Card,0,Normal_Personal_Transfer
2023-08-04,18:27,ACC537744,ACC667487,9468.52,GBP,GBP,UAE,Morocco,Cross-Border,1,Suspicious_Shell_Companies
2023-09-05,10:12,ACC840176,ACC701380,1075.76,GBP,EUR,UAE,UK,Cross-Border,1,Suspicious_Related_Accounts
2023-01-07,13:34,ACC182641,ACC487069,6315.34,MAD,EUR,Germany,Germany,Cheque,1,Suspicious_Related_Accounts
2023-07-06,00:30,ACC839443,ACC789182,5687.79,GBP,TRY,Mexico,Morocco,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-03-24,00:49,ACC831670,ACC848873,8904.22,GBP,USD,China,China,ACH Transfer,0,Normal_Personal_Transfer
2023-08-24,10:41,ACC639745,ACC906545,7514.93,TRY,MAD,China,UK,Cheque,1,Suspicious_Shell_Companies
2023-03-05,19:35,ACC142311,ACC818954,9652.97,AED,CNY,Turkey,Turkey,ACH Transfer,0,Normal_Personal_Transfer
2023-09-10,21:14,ACC251958,ACC720390,9600.73,TRY,CNY,Turkey,UAE,Credit Card,0,Normal_Corporate_Payment
2023-05-22,02:04,ACC570328,ACC364813,2264.59,MXN,EUR,Mexico,UK,Cash,1,Suspicious_Related_Accounts
2023-12-08,12:55,ACC544093,ACC280499,7256.26,EUR,CNY,UAE,USA,Debit Card,0,Normal_Corporate_Payment
2023-02-20,21:55,ACC747861,ACC574833,5309.93,AED,EUR,China,China,Mobile Payment,0,Normal_Corporate_Payment
2023-05-05,09:18,ACC459571,ACC768298,2153.87,USD,GBP,Mexico,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-02-11,19:54,ACC922613,ACC498933,1956.74,CNY,GBP,UAE,China,Mobile Payment,0,Normal_Personal_Transfer
2023-12-04,03:12,ACC264334,ACC964250,820.03,CNY,GBP,Morocco,Mexico,Cash,1,Suspicious_Shell_Companies
2023-11-17,22:26,ACC493238,ACC819935,7957.5,CNY,MXN,Germany,UK,ACH Transfer,0,Normal_Personal_Transfer
2023-04-05,18:02,ACC887560,ACC704025,3251.8,USD,AED,Mexico,Mexico,Debit Card,0,Normal_Corporate_Payment
2023-08-29,22:35,ACC703810,ACC124406,8571.12,TRY,TRY,Turkey,USA,ACH Transfer,0,Normal_Personal_Transfer
2023-10-26,16:14,ACC263394,ACC615904,6087.07,MAD,USD,USA,Mexico,Credit Card,0,Normal_Corporate_Payment
2023-07-22,08:43,ACC148929,ACC327894,6739.6,GBP,GBP,Germany,Germany,Cheque,1,Suspicious_CrossBorder_Transfer
2023-07-13,22:30,ACC705984,ACC112873,2923.82,MXN,USD,China,UK,Debit Card,0,Normal_Personal_Transfer
2023-03-30,06:36,ACC477389,ACC225812,4578.37,EUR,AED,China,UK,ACH Transfer,0,Normal_Corporate_Payment
2023-02-03,07:58,ACC896240,ACC968480,4129.05,TRY,GBP,Turkey,China,Cross-Border,1,Suspicious_RapidMovement
2023-11-24,16:49,ACC719436,ACC647749,2364.53,MAD,EUR,Turkey,UAE,Mobile Payment,0,Normal_Personal_Transfer
2023-11-25,18:22,ACC546098,ACC513926,8326.8,MXN,AED,Germany,Morocco,Cross-Border,1,Suspicious_Related_Accounts
2023-08-20,22:18,ACC908157,ACC113448,6224.62,CNY,USD,Turkey,Mexico,E-Wallet,0,Normal_Personal_Transfer
2023-05-04,04:54,ACC434678,ACC639486,383.95,MAD,MXN,USA,China,ACH Transfer,0,Normal_Corporate_Payment
2023-05-08,19:09,ACC402094,ACC697446,8200.97,MXN,GBP,Germany,Turkey,E-Wallet,0,Normal_Corporate_Payment
2023-09-22,17:43,ACC844314,ACC599600,1069.32,TRY,MAD,UAE,UAE,Cash,1,Suspicious_Related_Accounts
2023-11-24,01:31,ACC183576,ACC561154,4042.93,MXN,TRY,UAE,Mexico,Cheque,1,Suspicious_CrossBorder_Transfer
2023-11-20,09:17,ACC120557,ACC325075,5716.86,AED,EUR,UAE,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-10-12,06:47,ACC646113,ACC266033,86.44,GBP,AED,Turkey,Mexico,Credit Card,0,Normal_Personal_Transfer
2023-08-23,07:18,ACC371142,ACC798367,6532.55,MXN,AED,Morocco,UAE,Mobile Payment,0,Normal_Corporate_Payment
2023-01-31,23:35,ACC136080,ACC165470,6600.43,EUR,GBP,UK,Morocco,ACH Transfer,0,Normal_Corporate_Payment
2023-02-28,15:25,ACC883103,ACC283328,6528.74,MXN,AED,USA,Morocco,Credit Card,0,Normal_Corporate_Payment
2023-11-24,17:13,ACC288869,ACC645027,1643.04,AED,USD,Germany,USA,Debit Card,0,Normal_Corporate_Payment
2023-08-10,23:26,ACC771162,ACC970486,2564.77,USD,CNY,UK,UAE,Credit Card,0,Normal_Personal_Transfer
2023-01-04,09:03,ACC593844,ACC420330,2481.28,AED,GBP,UAE,Mexico,E-Wallet,0,Normal_Corporate_Payment
2023-02-07,19:14,ACC666695,ACC126547,9601.07,MXN,EUR,UAE,China,Cross-Border,1,Suspicious_CrossBorder_Transfer
2023-08-31,10:25,ACC220283,ACC194472,684.61,CNY,TRY,Mexico,UAE,ACH Transfer,0,Normal_Personal_Transfer
2023-01-02,20:52,ACC113338,ACC972255,4293.33,MAD,TRY,USA,Turkey,Debit Card,0,Normal_Corporate_Payment
2023-02-28,04:20,ACC700577,ACC611517,8713.83,CNY,TRY,Mexico,Morocco,Mobile Payment,0,Normal_Corporate_Payment
2023-07-20,22:44,ACC564736,ACC206887,7696.97,CNY,MAD,UAE,UAE,E-Wallet,0,Normal_Corporate_Payment
2023-09-10,05:15,ACC774255,ACC806791,8226.2,TRY,CNY,UK,Mexico,E-Wallet,0,Normal_Personal_Transfer
